Subcategory,Category,Brand Description,Size (ml),Per Case,Product Code,Case Price (VAT Excl),Case Price (VAT Incl),Bottle Price (VAT Excl),Bottle Price (VAT Incl),UPC,MSRP Price (Bottle)
French Wine,Wine,Red Calvet Celebration Spark Brut,750,6,LGCF-CELR-750x6,1446.22,1627.0,241.04,271.17,3506010137433.0,338.99
French Wine,Wine,Red Calvet Mer Cab Syrah E,750,6,LGCF-MCSE-750x6,751.3,845.21,125.22,140.87,3506010125495.0,176.09
Wines Around the World,Wine,Rose All Day 'Rosé',750,12,ROS-ROAD-750x12,1276.24,1435.97,106.35,119.67,8330200200529.0,199.0
Uncategorized,Uncategorized,Rose in Can with Bubbles - 250x24,250,24,ROS-CANB-250x24,1275.56,1435.01,53.15,59.79,833020020627.0,45.0
Wines Around the World,Wine,Rose All Day Rose in Cans - 250x24,250,24,ROS-CANS-250x24,889.78,1001.0,37.07,41.71,833020020527.0,31.0
French Wine,Wine,Sainte Roseline Prestige Provence Rose,750,6,RODI-ROSE-750x6,1203.68,1354.14,200.61,225.69,3760022531476.0,282.0
French Wine,Wine,Saint-Veran Dom St. Martin,750,12,GDB-SAIN-750x12,1798.05,2022.81,149.84,168.57,3351560070001.0,275.0
French Wine,Wine,Santenay Red Moillard Vielles AOP,750,6,LGCF-SANR-750x6,1288.0,1449.0,214.67,241.5,3180421068050.0,275.0
Uncategorized,Uncategorized,St Emilion Grand Cru Red Cht Cantin AOP,750,6,LGCF-EMIL-750x6,1176.0,1323.0,196.0,220.5,3506010148255.0,275.63
Uncategorized,Uncategorized,Syrah Pays D’oc Rouge,750,12,GDB-SYRA-750x12,1231.78,1385.75,102.65,115.48,3351560001175.0,144.35
French Wine,Wine,White Calvet Celebration Spark Brut,750,6,LGCF-CELW-750x6,1445.33,1626.0,240.89,271.0,3506010137440.0,338.99
Wines Around the World,Wine,Invivo X SJP Sauvignon Blanc 750x6,750,6,INVI-SABL-750x6,1044.62,1175.2,174.1,195.87,9421905673006.0,165.55
Uncategorized,Uncategorized,Carmenere-Chile,750,6,TUSJ-CARM-750x6,677.6,762.3,112.93,127.05,3760024504142.0,145.95
Uncategorized,Uncategorized,Chenin Blanc-South Africa,750,6,TUSJ-CHEN-750x6,665.88,749.12,110.98,124.85,3760024504105.0,156.07
Uncategorized,Uncategorized,Merlot-France,750,6,TUSJ-MERL-750x6,655.2,737.1,109.2,122.85,3760024504201.0,153.55
Uncategorized,Uncategorized,Moscato Rose-Spain,750,6,TUSJ-MROS-750x6,1130.67,1277.3,188.45,212.88,3760024504294.0,264.99
Uncategorized,Uncategorized,Moscato White Sweet-Spain,750,6,TUSJ-MOSW-750x6,624.4,702.45,104.07,117.08,3760024504218.0,153.55
Uncategorized,Uncategorized,Pinot Grigio-Italy,750,6,TUSJ-PIGR-750x6,655.2,737.1,109.2,122.85,3760024504256.0,153.55
Italian Wine,Wine,Prosecco-Italy,750,6,TUSJ-PROS-750x6,1494.22,1681.0,249.04,280.17,3760024504054.0,309.99
German Wine,Wine,Riesling-Germany,750,6,TUSJ-RIES-750x6,655.2,737.1,109.2,122.85,3760024504111.0,153.55
Uncategorized,Uncategorized,Sauvignon Blanc-New Zealand,750,6,TUSJ-SAUV-750x6,756.0,850.5,126.0,141.75,3760024504016.0,156.95
Uncategorized,Uncategorized,Sweet Cat-Italy,750,6,TUSJ-SCAT-750x6,587.26,661.4,97.88,110.23,3760024504078.0,156.95
Uncategorized,Uncategorized,Zinfandel-USA,750,6,TUSJ-ZINF-750x6,747.6,841.05,124.6,140.18,3760024504183.0,156.95
Chilean Wine,Wine,Escudo Rojo Gran Reserva,750,12,ESCU-ROGR-750x12,1626.8,1830.15,135.57,152.51,7804462004859.0,177.95
Chilean Wine,Wine,Escudo Rojo Reserva Cabernet Sauvignon,750,12,ESCU-RORC-750x12,1495.11,1682.0,124.59,140.17,7804462001055.0,159.0
Chilean Wine,Wine,Mapu Cabernet Sauvignon,750,12,MAPU-CASU-750x12,1092.0,1228.5,91.0,102.38,7804462001492.0,120.95
Chilean Wine,Wine,Mapu Carmenere,750,12,MAPU-CARM-750x12,1092.0,1228.5,91.0,102.38,7804462001317.0,120.95
Chilean Wine,Wine,Mapu Gran Reserva Carignan,750,12,MAPU-GRCA-750x12,1315.06,1479.44,109.59,123.38,7804462003320.0,141.95
Chilean Wine,Wine,Mapu Gran Reserva Chardonnay,750,12,MAPU-GRCH-750x12,1315.06,1479.44,109.59,123.38,7804462003214.0,141.95
Chilean Wine,Wine,Mapu Rose,750,12,MAPU-ROSE-750x12,1092.0,1228.5,91.0,102.38,7804462003094.0,120.95
Chilean Wine,Wine,Mapu Sauvignon Blanc/Chardonnay,750,12,MAPU-SBOC-750x12,1092.0,1228.5,91.0,102.38,7804462003124.0,120.95
Chilean Wine,Wine,Santa Rita 120 Reserva Especial 187x24,187,24,SANT-RECM-187x24,635.78,715.25,26.49,29.8,8685609011926.0,37.25
Chilean Wine,Wine,Santa Rita 120 Reserva Especial Merlot,750,12,SANT-REME-750x12,1198.78,1348.63,99.9,112.39,8685609011150.0,140.48
Chilean Wine,Wine,Santa Rita 120 Reserva Especial Moscato,750,12,SANT-REMO-750x12,1198.78,1348.63,99.9,112.39,8685609011617.0,140.48
Chilean Wine,Wine,Santa Rita Reserva Especial Chardonnay,750,12,SANT-RECH-750x12,1198.78,1348.63,99.9,112.39,8685609011655.0,140.48
Chilean Wine,Wine,Santa Rita Reserva Especial Sauv. Blanc,750,12,SANT-RECS-750x12,1198.78,1348.63,99.9,112.39,8685609011725.0,140.48
Chilean Wine,Wine,Santa Rita Reserva Especial Cabernet Sauv.,750,12,SANT-RECC-750x12,1344.44,1512.5,112.04,126.04,8685609011579.0,157.56
Chilean Wine,Wine,Santa Rita Secret Reserve Red,750,12,SANT-SRED-750x12,1043.47,1173.9,86.96,97.83,7804330006717.0,122.29
Chilean Wine,Wine,Santa Rita Tres Medallas Cabernet Sauvignon,750,12,SANT-TMCS-750x12,1043.47,1173.9,86.96,97.83,7804330006717.0,122.29
Chilean Wine,Wine,Santa Rita Tres Medallas Chardonnay,750,12,SANT-TMCH-750x12,1043.47,1173.9,86.96,97.83,7804330006731.0,122.29
Chilean Wine,Wine,Santa Rita Tres Medallas Merlot,750,12,SANT-TMER-750x12,1043.47,1173.9,86.96,97.83,7804330006731.0,122.29
Chilean Wine,Wine,Santa Rita Tres Medallas Sweet Rose,750,12,SANT-TMSW-750x12,1019.96,1147.46,85.0,95.62,7804330008674.0,120.0
Chilean Wine,Wine,Santa Rita Tres Medallas Sweet White,750,12,SANT-TMSR-750x12,1019.96,1147.46,85.0,95.62,7804330008650.0,120.0
Chilean Wine,Wine,Santa Rita Tres Medallas Sauv. Blanc,750,12,SANT-TMSB-750x12,1043.47,1173.9,86.96,97.83,7804330006724.0,122.29
Chilean Wine,Wine,Santa Rita 120 Reserva Especial Red Blend,750,12,SANT-RERD-750x12,1198.78,1348.63,99.9,112.39,8685609011664.0,140.48
Portuguese Wine,Wine,Paxis Red Blend,750,12,PAXB-REDB-750x12,1142.22,1285.0,95.19,107.08,5600312192049.0,134.96
Portuguese Wine,Wine,Paxis Rose Blend,750,12,PAXB-ROSB-750x12,1142.22,1285.0,95.19,107.08,5600312192728.0,134.96
Portuguese Wine,Wine,Paxis White Blend,750,12,PAXB-WHIB-750x12,1142.22,1285.0,95.19,107.08,5600312192261.0,134.96
German Wine,Wine,Pillitteri Riesling,375,12,PIL-ICEV-375x12,4054.22,4561.0,337.85,380.08,6271218212102.0,455.0
Uncategorized,Uncategorized,Pillitteri Cabernet Franc,375,12,PIL-ICEV-375x12,4743.33,5336.25,395.28,444.69,6271218212570.0,500.0
Uncategorized,Uncategorized,Pillitteri Vidal,375,12,PIL-ICEV-375x12,3674.94,4134.31,306.25,344.53,6271218212072.0,425.0
Californian Wine,Wine,Bourbon Barrel Aged Double Black,750,12,BOU-1924-750x12,2121.6,2386.8,176.8,198.0,82242015684.0,198.0
Californian Wine,Wine,Cupcake Pinot Noir Wine 750mlx12,750,12,CPK-PINO-750x12,1445.33,1626.0,120.44,135.5,81308001241.0,169.38
Californian Wine,Wine,Cupcake Prosecco 750mlx12,750,12,CPK-PROS-750x12,3086.22,3472.0,257.19,289.33,81308001326.0,361.99
Californian Wine,Wine,Cupcake Red Velvet Wine 750mlx12,750,12,CPK-REDVEL-750x12,1445.33,1626.0,120.44,135.5,81308001258.0,169.38
Californian Wine,Wine,Cupcake Sauvignon Blanc 750mlx12,750,12,CPK-SAUV-750x12,1445.33,1626.0,120.44,135.5,81308000453.0,169.38
Californian Wine,Wine,Double Black Cabernet Sauvignon,750,12,CAB-1924-750x12,2145.17,2413.32,178.76,201.11,82242014943.0,251.38
Californian Wine,Wine,Double Black Dark Red,750,12,RED-1924-750x12,2043.02,2298.4,170.25,191.53,82242013840.0,239.43
Californian Wine,Wine,Gnarly Head CA Cabernet Sauvignon,750,12,DFV-GHCS-750x12,1377.78,1550.0,114.82,129.17,82242290432.0,164.95
Californian Wine,Wine,Gnarly Head Old Vine Zinfandel-750x12,750,12,DFV-GHOZ-750x12,1377.78,1550.0,114.82,129.17,82242294935.0,164.95
Californian Wine,Wine,Just Wine Cabernet Sauvignon,750,6,JUS-CABS-750x6,530.4,596.7,88.4,99.45,3770019267352.0,79.0
Californian Wine,Wine,Just Wine Chardonnay,750,6,JUS-CHAR-750x6,530.4,596.7,88.4,99.45,3770019267345.0,79.0
Californian Wine,Wine,Just Wine Malbec,750,6,JUS-MALB-750x6,530.4,596.7,88.4,99.45,3770019267356.0,89.0
Californian Wine,Wine,Just Wine Merlot,750,6,JUS-MERL-750x6,530.4,596.7,88.4,99.45,3770019267363.0,89.0
Californian Wine,Wine,Just Wine Orange Wine,750,6,JUS-ORAN-750x6,530.4,596.7,88.4,99.45,3770019267314.0,79.0
Californian Wine,Wine,Just Wine Pinot Grigio,750,6,JUS-PIGR-750x6,530.4,596.7,88.4,99.45,3770019267325.0,79.0
